event,k,n,pct,ci_lo,ci_hi
Hypothermia (drop ≥1.0 °C),12,13,92.3076923076923,63.97025647321226,99.80543715026533
Marked hypothermia (drop ≥2.0 °C),10,13,76.92307692307693,46.186846076595906,94.96189265088485
Temperature <35.0 °C,10,13,76.92307692307693,46.186846076595906,94.96189265088485
Bradycardia (↓≥20 % or <200 min⁻¹),4,13,30.76923076923077,9.09203945720966,61.42616617507053
Tachycardia (↑≥20 %),5,13,38.46153846153847,13.85793388901606,68.4222397085937
Bradypnoea (↓≥50 %),4,13,30.76923076923077,9.09203945720966,61.42616617507053
Hypoxaemia (SpO2 <90 %)†,4,6,66.66666666666666,22.27780955035122,95.67281317072583
Severe hypoxaemia (SpO2 <80 %)†,3,6,50.0,11.811724875702525,88.18827512429748
