,n,mean,sd,median,q1,q3,min,max,median_ci_lo,median_ci_hi
Body weight (g),13.0,537.2307692307693,36.14589383354133,538.0,512.0,553.0,476.0,609.0,504.0,559.0
Propofol dose (mg/kg),13.0,6.983066924203437,0.05883536913538788,6.984667802385008,6.944444444444445,7.031249999999999,6.883365200764818,7.065217391304348,6.932773109243699,7.050092764378478
Ketamine dose (mg/kg),13.0,49.66960058777484,0.8292345160858744,49.7131931166348,49.26108374384236,50.09276437847866,48.30053667262969,50.78125,48.87218045112782,50.63291139240506
Injected volume (mL/kg),13.0,1.1950026982980921,0.012919755591356708,1.192504258943782,1.1842105263157894,1.2059369202226344,1.1764705882352944,1.213768115942029,1.1822660098522166,1.2109375
Baseline HR,13.0,224.84615384615384,39.97675606700756,232.0,208.0,250.0,124.0,280.0,193.0,255.0
Baseline RR,13.0,113.38461538461539,53.34719371178841,112.0,67.0,140.0,44.0,220.0,47.0,153.0
Baseline temperature (°C),13.0,36.11538461538462,1.6657561615505407,35.3,35.2,37.5,34.1,39.6,35.1,37.8
Baseline SpO2 (%),13.0,83.76923076923077,16.65409782482901,86.0,82.0,96.0,49.0,98.0,77.0,97.0
