variable,n_animals,n_obs,lmm_wald_chi2,lmm_df,lmm_p,icc_animal,friedman_n_complete,friedman_chi2,friedman_p,kendall_w,set
fc,13,117,2.830933634935056,8,0.9445150477601718,0.613026441814091,13,2.522427440633273,0.9606769072926338,0.024254110006089163,all
fr,13,117,50.30183772890798,8,3.5756391160874064e-08,0.8399241702018315,13,35.85992217898831,1.8627837127192208e-05,0.3448069440287338,all
temp,13,117,101.983218676541,8,1.6778837581169423e-18,0.6062626176888763,13,46.43864229765014,1.961498284448799e-07,0.4465254067081744,all
spo2,6,54,5.958525255198822,8,0.6518778157993903,0.09076663108879772,6,4.386036960985629,0.8207235103551851,0.09137577002053393,reliable
spo2,13,117,4.069213456589807,8,0.8508253775168095,0.4579104156185946,13,11.591463414634168,0.1703835419319151,0.111456378986867,all_sensitivity
