x,y,n,rho,p
peso_g,dur_perdida_enderezamiento,13,0.60330807439238,0.02903814914242257
peso_g,t_ambulacion,13,0.3301241087284377,0.2706361115625358
ket_mg_kg,dur_perdida_enderezamiento,13,-0.1351725423758446,0.659724121830097
ket_mg_kg,t_ambulacion,13,-0.09779614325068871,0.750604385355135
temp_descenso_max,dur_perdida_enderezamiento,13,-0.01103449325517099,0.9714600889186139
temp_descenso_max,t_ambulacion,13,0.10743801652892564,0.7268229472480304
basal_temp,dur_perdida_enderezamiento,13,-0.35220994475138123,0.2378984052444501
basal_temp,t_ambulacion,13,-0.3517244725085753,0.2385909982068782
